id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B cell|B cell	B cell|CD4T cell	B cell|CD8T cell	B cell|MNPa(mono)	B cell|MNPb(mono)	B cell|MNPc(DC)	B cell|MNPd(Mac)	B cell|Mast cell	B cell|NK cell	B cell|NKT cell	B cell|Neutrophil	B cell|pDC	CD4T cell|B cell	CD4T cell|CD4T cell	CD4T cell|CD8T cell	CD4T cell|MNPa(mono)	CD4T cell|MNPb(mono)	CD4T cell|MNPc(DC)	CD4T cell|MNPd(Mac)	CD4T cell|Mast cell	CD4T cell|NK cell	CD4T cell|NKT cell	CD4T cell|Neutrophil	CD4T cell|pDC	CD8T cell|B cell	CD8T cell|CD4T cell	CD8T cell|CD8T cell	CD8T cell|MNPa(mono)	CD8T cell|MNPb(mono)	CD8T cell|MNPc(DC)	CD8T cell|MNPd(Mac)	CD8T cell|Mast cell	CD8T cell|NK cell	CD8T cell|NKT cell	CD8T cell|Neutrophil	CD8T cell|pDC	MNPa(mono)|B cell	MNPa(mono)|CD4T cell	MNPa(mono)|CD8T cell	MNPa(mono)|MNPa(mono)	MNPa(mono)|MNPb(mono)	MNPa(mono)|MNPc(DC)	MNPa(mono)|MNPd(Mac)	MNPa(mono)|Mast cell	MNPa(mono)|NK cell	MNPa(mono)|NKT cell	MNPa(mono)|Neutrophil	MNPa(mono)|pDC	MNPb(mono)|B cell	MNPb(mono)|CD4T cell	MNPb(mono)|CD8T cell	MNPb(mono)|MNPa(mono)	MNPb(mono)|MNPb(mono)	MNPb(mono)|MNPc(DC)	MNPb(mono)|MNPd(Mac)	MNPb(mono)|Mast cell	MNPb(mono)|NK cell	MNPb(mono)|NKT cell	MNPb(mono)|Neutrophil	MNPb(mono)|pDC	MNPc(DC)|B cell	MNPc(DC)|CD4T cell	MNPc(DC)|CD8T cell	MNPc(DC)|MNPa(mono)	MNPc(DC)|MNPb(mono)	MNPc(DC)|MNPc(DC)	MNPc(DC)|MNPd(Mac)	MNPc(DC)|Mast cell	MNPc(DC)|NK cell	MNPc(DC)|NKT cell	MNPc(DC)|Neutrophil	MNPc(DC)|pDC	MNPd(Mac)|B cell	MNPd(Mac)|CD4T cell	MNPd(Mac)|CD8T cell	MNPd(Mac)|MNPa(mono)	MNPd(Mac)|MNPb(mono)	MNPd(Mac)|MNPc(DC)	MNPd(Mac)|MNPd(Mac)	MNPd(Mac)|Mast cell	MNPd(Mac)|NK cell	MNPd(Mac)|NKT cell	MNPd(Mac)|Neutrophil	MNPd(Mac)|pDC	Mast cell|B cell	Mast cell|CD4T cell	Mast cell|CD8T cell	Mast cell|MNPa(mono)	Mast cell|MNPb(mono)	Mast cell|MNPc(DC)	Mast cell|MNPd(Mac)	Mast cell|Mast cell	Mast cell|NK cell	Mast cell|NKT cell	Mast cell|Neutrophil	Mast cell|pDC	NK cell|B cell	NK cell|CD4T cell	NK cell|CD8T cell	NK cell|MNPa(mono)	NK cell|MNPb(mono)	NK cell|MNPc(DC)	NK cell|MNPd(Mac)	NK cell|Mast cell	NK cell|NK cell	NK cell|NKT cell	NK cell|Neutrophil	NK cell|pDC	NKT cell|B cell	NKT cell|CD4T cell	NKT cell|CD8T cell	NKT cell|MNPa(mono)	NKT cell|MNPb(mono)	NKT cell|MNPc(DC)	NKT cell|MNPd(Mac)	NKT cell|Mast cell	NKT cell|NK cell	NKT cell|NKT cell	NKT cell|Neutrophil	NKT cell|pDC	Neutrophil|B cell	Neutrophil|CD4T cell	Neutrophil|CD8T cell	Neutrophil|MNPa(mono)	Neutrophil|MNPb(mono)	Neutrophil|MNPc(DC)	Neutrophil|MNPd(Mac)	Neutrophil|Mast cell	Neutrophil|NK cell	Neutrophil|NKT cell	Neutrophil|Neutrophil	Neutrophil|pDC	pDC|B cell	pDC|CD4T cell	pDC|CD8T cell	pDC|MNPa(mono)	pDC|MNPb(mono)	pDC|MNPc(DC)	pDC|MNPd(Mac)	pDC|Mast cell	pDC|NK cell	pDC|NKT cell	pDC|Neutrophil	pDC|pDC
CPI-SS0A7B487D4	KLRG2_WNT11	simple:A4D1S0	simple:O96014	KLRG2	WNT11	True	True	False	InnateDB-All	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	KLRG2	TNFSF9	True	True	False	InnateDB-All	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.047	0.023	0.03	0	0.018	0	0	0.083	0.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	4.896	4.906	4.882	4.889	0	4.878	0	0	4.942	4.931	0	0	0.299	0.309	0.285	0.292	0	0.281	0	0	0.345	0.334	0	0	1.118	1.128	1.104	1.111	0	1.1	0	0	1.164	1.153	0	0	7.796	7.806	7.783	7.79	0	7.778	0	0	7.842	7.832	0	0	11.299	11.309	11.285	11.292	0	11.281	0	0	11.345	11.334	0	0	44.616	44.626	44.603	44.609	0	44.598	0	0	44.662	44.652	0	0	42.483	42.493	42.469	42.476	0	42.464	0	0	42.529	42.518	0	0	0.082	0.092	0.069	0.076	0	0.064	0	0	0.128	0.118	0	0	0.633	0.643	0.619	0.626	0	0.614	0	0	0.679	0.668	0	0	1.585	1.595	1.571	1.578	0	1.566	0	0	1.631	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.488	4.498	4.475	4.482	0	4.47	0	0	4.534	4.524	0	0
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0.055	0.031	0.038	0	0.027	0	0	0.091	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.085	0.061	0.068	0	0.056	0	0	0.121	0.11	0	0	0.038	0.047	0.024	0.031	0	0.019	0	0	0.083	0.073	0	0	0.052	0.062	0.038	0.045	0	0.033	0	0	0.098	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0.076	0.053	0.06	0	0.048	0	0	0.112	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	KLRG2	WNT5B	True	True	False	InnateDB-All	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.007	0	0.014	0	0.03	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0.107	0.674	1.824	0.019	0.022	0.048	0	0	0.808	0.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137	0.704	1.853	0.049	0.052	0.077	0	0	0.838	0.576	0	0	0.1	0.667	1.816	0.012	0.015	0.04	0	0	0.801	0.539	0	0	0.114	0.681	1.831	0.026	0.029	0.054	0	0	0.815	0.553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0.695	1.845	0.041	0.043	0.069	0	0	0.829	0.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209	0.208	0.066	0	0.209	0	0	0.398	0.393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238	0.238	0.096	0	0.239	0	0	0.428	0.422	0	0	0	0.201	0.2	0.059	0	0.202	0	0	0.391	0.385	0	0	0	0.215	0.215	0.073	0	0.216	0	0	0.405	0.399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0.229	0.088	0	0.231	0	0	0.42	0.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0.34	0.494	0.017	0.02	0.018	0	0	0.873	0.597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.369	0.523	0.046	0.05	0.047	0	0	0.902	0.627	0	0	0.011	0.332	0.486	0.009	0.013	0.01	0	0	0.865	0.589	0	0	0.025	0.346	0.5	0.023	0.027	0.025	0	0	0.879	0.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.361	0.515	0.038	0.042	0.039	0	0	0.894	0.618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.024	0.029	0	0	0	0.127	0.066	0.113	0.028	0.157	0.298	0.199	0.029	0.033	0	0	0	0.131	0.07	0.118	0.032	0.161	0.302	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0.131	0	0	0	0.23	0.169	0.216	0.13	0.26	0.401	0.302	0.066	0.07	0	0	0	0.169	0.107	0.155	0.069	0.198	0.339	0.24	0.113	0.118	0	0	0	0.216	0.155	0.202	0.116	0.246	0.387	0.288	0.028	0.032	0	0	0	0.13	0.069	0.116	0.031	0.16	0.301	0.202	0.157	0.161	0	0	0	0.26	0.198	0.246	0.16	0.29	0.431	0.332	0.298	0.302	0	0	0	0.401	0.339	0.387	0.301	0.431	0.572	0.473	0.199	0.203	0	0	0	0.302	0.24	0.288	0.202	0.332	0.473	0.374
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.128	0.132	0	0	0	0.231	0.169	0.217	0.131	0.261	0.402	0.302	0.078	0.082	0	0	0	0.181	0.119	0.167	0.081	0.21	0.351	0.252	0.49	0.494	0	0	0	0.593	0.531	0.579	0.493	0.623	0.764	0.664	0.051	0.055	0	0	0	0.154	0.093	0.14	0.054	0.184	0.325	0.226	0.077	0.082	0	0	0	0.18	0.119	0.166	0.081	0.21	0.351	0.252	0.087	0.091	0	0	0	0.19	0.128	0.176	0.09	0.22	0.361	0.262	0.106	0.11	0	0	0	0.209	0.147	0.195	0.109	0.239	0.38	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.248	0.252	0	0	0	0.35	0.289	0.337	0.251	0.38	0.521	0.422	0.308	0.313	0	0	0	0.411	0.35	0.397	0.311	0.441	0.582	0.483	0	0	0	0	0	0	0	0	0	0	0	0	0.199	0.203	0	0	0	0.302	0.24	0.288	0.202	0.332	0.473	0.374
