id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	PV MMP11|PV MMP11	PV MMP11|PV MYH11	PV MMP11|PV STEAP4	PV MMP11|EVT_1	PV MMP11|EVT_2	PV MMP11|iEVT	PV MMP11|VCT_CCC	PV MMP11|GC	PV MMP11|eEVT	PV MYH11|PV MMP11	PV MYH11|PV MYH11	PV MYH11|PV STEAP4	PV MYH11|EVT_1	PV MYH11|EVT_2	PV MYH11|iEVT	PV MYH11|VCT_CCC	PV MYH11|GC	PV MYH11|eEVT	PV STEAP4|PV MMP11	PV STEAP4|PV MYH11	PV STEAP4|PV STEAP4	PV STEAP4|EVT_1	PV STEAP4|EVT_2	PV STEAP4|iEVT	PV STEAP4|VCT_CCC	PV STEAP4|GC	PV STEAP4|eEVT	EVT_1|PV MMP11	EVT_1|PV MYH11	EVT_1|PV STEAP4	EVT_1|EVT_1	EVT_1|EVT_2	EVT_1|iEVT	EVT_1|VCT_CCC	EVT_1|GC	EVT_1|eEVT	EVT_2|PV MMP11	EVT_2|PV MYH11	EVT_2|PV STEAP4	EVT_2|EVT_1	EVT_2|EVT_2	EVT_2|iEVT	EVT_2|VCT_CCC	EVT_2|GC	EVT_2|eEVT	iEVT|PV MMP11	iEVT|PV MYH11	iEVT|PV STEAP4	iEVT|EVT_1	iEVT|EVT_2	iEVT|iEVT	iEVT|VCT_CCC	iEVT|GC	iEVT|eEVT	VCT_CCC|PV MMP11	VCT_CCC|PV MYH11	VCT_CCC|PV STEAP4	VCT_CCC|EVT_1	VCT_CCC|EVT_2	VCT_CCC|iEVT	VCT_CCC|VCT_CCC	VCT_CCC|GC	VCT_CCC|eEVT	GC|PV MMP11	GC|PV MYH11	GC|PV STEAP4	GC|EVT_1	GC|EVT_2	GC|iEVT	GC|VCT_CCC	GC|GC	GC|eEVT	eEVT|PV MMP11	eEVT|PV MYH11	eEVT|PV STEAP4	eEVT|EVT_1	eEVT|EVT_2	eEVT|iEVT	eEVT|VCT_CCC	eEVT|GC	eEVT|eEVT
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.0	0.071	0.099	0.089	0.077	0.099	0.346	0.077	0.0	0.0	0.043	0.071	0.06	0.048	0.07	0.317	0.131	0.0	0.0	0.097	0.125	0.115	0.102	0.124	0.371	0.194	0.0	0.0	0.16	0.188	0.177	0.165	0.187	0.434	0.321	0.0	0.0	0.287	0.315	0.305	0.292	0.314	0.561	0.193	0.0	0.0	0.159	0.187	0.177	0.164	0.186	0.433	0.232	0.0	0.0	0.198	0.225	0.215	0.203	0.225	0.472
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.006	0.034	0.024	0.012	0.034	0.281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.009	0.037	0.026	0.014	0.036	0.283	0.042	0.0	0.0	0.007	0.035	0.025	0.013	0.035	0.282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.015	0.043	0.032	0.02	0.042	0.289
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.016	0.044	0.033	0.021	0.043	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.066	0.094	0.083	0.071	0.093	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.036	0.064	0.054	0.041	0.063	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.088	0.0	0.0	0.054	0.081	0.071	0.059	0.081	0.328	0.112	0.0	0.0	0.078	0.106	0.095	0.083	0.105	0.352	0.206	0.0	0.0	0.172	0.2	0.189	0.177	0.199	0.446	0.041	0.0	0.0	0.007	0.035	0.024	0.012	0.034	0.281	0.038	0.0	0.0	0.004	0.032	0.021	0.009	0.031	0.278	0.056	0.0	0.0	0.022	0.049	0.039	0.027	0.049	0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.018	0.046	0.036	0.023	0.045	0.292
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.359	0.0	0.0	0.325	0.353	0.343	0.33	0.353	0.6	0.477	0.0	0.0	0.443	0.471	0.46	0.448	0.47	0.717	0.321	0.0	0.0	0.286	0.314	0.304	0.292	0.314	0.561	0.044	0.0	0.0	0.01	0.038	0.028	0.015	0.037	0.284	0.051	0.0	0.0	0.017	0.045	0.034	0.022	0.044	0.291	0.057	0.0	0.0	0.023	0.05	0.04	0.028	0.05	0.297	0.059	0.0	0.0	0.025	0.053	0.042	0.03	0.052	0.299	0.109	0.0	0.0	0.075	0.103	0.092	0.08	0.102	0.349	0.088	0.0	0.0	0.054	0.082	0.071	0.059	0.081	0.328
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.257	0.0	0.0	0.222	0.25	0.24	0.228	0.25	0.497	0.208	0.0	0.0	0.174	0.202	0.191	0.179	0.201	0.448	0.257	0.0	0.0	0.223	0.251	0.24	0.228	0.25	0.497	0.038	0.0	0.0	0.004	0.032	0.021	0.009	0.031	0.278	0.098	0.0	0.0	0.064	0.092	0.082	0.069	0.091	0.338	0.094	0.0	0.0	0.06	0.088	0.078	0.065	0.088	0.334	0.043	0.0	0.0	0.009	0.037	0.027	0.014	0.036	0.283	0.095	0.0	0.0	0.061	0.089	0.078	0.066	0.088	0.335	0.041	0.0	0.0	0.007	0.035	0.024	0.012	0.034	0.281
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.0	0.0	0.079	0.107	0.096	0.084	0.106	0.353	0.069	0.0	0.0	0.035	0.063	0.053	0.04	0.062	0.309	0.084	0.0	0.0	0.05	0.078	0.067	0.055	0.077	0.324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.05	0.078	0.068	0.055	0.077	0.324	0.072	0.0	0.0	0.038	0.066	0.055	0.043	0.065	0.312	0.11	0.0	0.0	0.076	0.104	0.093	0.081	0.103	0.35
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.011	0.039	0.029	0.016	0.038	0.285	0.081	0.0	0.0	0.047	0.075	0.064	0.052	0.074	0.321	0.128	0.0	0.0	0.094	0.122	0.112	0.099	0.121	0.368	0.121	0.0	0.0	0.087	0.115	0.104	0.092	0.114	0.361	0.061	0.0	0.0	0.027	0.055	0.045	0.032	0.054	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
