id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	PV MMP11|PV MMP11	PV MMP11|PV MYH11	PV MMP11|PV STEAP4	PV MMP11|EVT_1	PV MMP11|EVT_2	PV MMP11|iEVT	PV MMP11|VCT_CCC	PV MMP11|GC	PV MMP11|eEVT	PV MYH11|PV MMP11	PV MYH11|PV MYH11	PV MYH11|PV STEAP4	PV MYH11|EVT_1	PV MYH11|EVT_2	PV MYH11|iEVT	PV MYH11|VCT_CCC	PV MYH11|GC	PV MYH11|eEVT	PV STEAP4|PV MMP11	PV STEAP4|PV MYH11	PV STEAP4|PV STEAP4	PV STEAP4|EVT_1	PV STEAP4|EVT_2	PV STEAP4|iEVT	PV STEAP4|VCT_CCC	PV STEAP4|GC	PV STEAP4|eEVT	EVT_1|PV MMP11	EVT_1|PV MYH11	EVT_1|PV STEAP4	EVT_1|EVT_1	EVT_1|EVT_2	EVT_1|iEVT	EVT_1|VCT_CCC	EVT_1|GC	EVT_1|eEVT	EVT_2|PV MMP11	EVT_2|PV MYH11	EVT_2|PV STEAP4	EVT_2|EVT_1	EVT_2|EVT_2	EVT_2|iEVT	EVT_2|VCT_CCC	EVT_2|GC	EVT_2|eEVT	iEVT|PV MMP11	iEVT|PV MYH11	iEVT|PV STEAP4	iEVT|EVT_1	iEVT|EVT_2	iEVT|iEVT	iEVT|VCT_CCC	iEVT|GC	iEVT|eEVT	VCT_CCC|PV MMP11	VCT_CCC|PV MYH11	VCT_CCC|PV STEAP4	VCT_CCC|EVT_1	VCT_CCC|EVT_2	VCT_CCC|iEVT	VCT_CCC|VCT_CCC	VCT_CCC|GC	VCT_CCC|eEVT	GC|PV MMP11	GC|PV MYH11	GC|PV STEAP4	GC|EVT_1	GC|EVT_2	GC|iEVT	GC|VCT_CCC	GC|GC	GC|eEVT	eEVT|PV MMP11	eEVT|PV MYH11	eEVT|PV STEAP4	eEVT|EVT_1	eEVT|EVT_2	eEVT|iEVT	eEVT|VCT_CCC	eEVT|GC	eEVT|eEVT
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.391
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.238
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.741
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
