gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B_cells	DC	EVT_1	EVT_2	Endo_F	Endo_L	Endo_M	GC	Granulocytes	HOFB	ILC3	M3	MO	NK	PV MMP11	PV MYH11	PV STEAP4	Plasma	SCT	T_cells	VCT	VCT_CCC	VCT_fusing	VCT_p	dDC	dEpi_lumenal	dEpi_secretory	dM1	dM2	dNK1	dNK2	dNK3	dS1	dS2	dS3	dT_cells	dT_regs	eEVT	fF1	fF2	iEVT	uSMC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.24	0.0	0.621	1.06	0.105	0.212	0.216	1.424	0.0	0.411	0.25	0.465	0.068	0.127	0.114	0.0	0.0	0.0	0.161	0.0	0.484	0.576	0.158	0.454	0.608	0.0	0.124	0.24	0.36	1.134	0.632	0.437	0.118	0.224	0.162	0.025	0.124	1.182	0.055	0.0	1.402	0.338
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.24	0.0	0.621	1.06	0.105	0.212	0.216	1.424	0.0	0.411	0.25	0.465	0.068	0.127	0.114	0.0	0.0	0.0	0.161	0.0	0.484	0.576	0.158	0.454	0.608	0.0	0.124	0.24	0.36	1.134	0.632	0.437	0.118	0.224	0.162	0.025	0.124	1.182	0.055	0.0	1.402	0.338
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.24	0.0	0.621	1.06	0.105	0.212	0.216	1.424	0.0	0.411	0.25	0.465	0.068	0.127	0.114	0.0	0.0	0.0	0.161	0.0	0.484	0.576	0.158	0.454	0.608	0.0	0.124	0.24	0.36	1.134	0.632	0.437	0.118	0.224	0.162	0.025	0.124	1.182	0.055	0.0	1.402	0.338
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.0	0.186	0.003	0.0	0.0	0.014	0.024	0.0	0.0	0.077	0.097	0.034	0.213	0.0	0.0	0.0	0.053	0.0	0.001	0.0	0.008	0.016	0.0	0.015	0.0	0.236	0.033	0.122	0.096	0.007	0.025	0.0	0.019	0.022	0.03	0.031	0.0	0.232	0.148	0.133	0.0	0.021
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.0	0.186	0.003	0.0	0.0	0.014	0.024	0.0	0.0	0.077	0.097	0.034	0.213	0.0	0.0	0.0	0.053	0.0	0.001	0.0	0.008	0.016	0.0	0.015	0.0	0.236	0.033	0.122	0.096	0.007	0.025	0.0	0.019	0.022	0.03	0.031	0.0	0.232	0.148	0.133	0.0	0.021
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.0	0.186	0.003	0.0	0.0	0.014	0.024	0.0	0.0	0.077	0.097	0.034	0.213	0.0	0.0	0.0	0.053	0.0	0.001	0.0	0.008	0.016	0.0	0.015	0.0	0.236	0.033	0.122	0.096	0.007	0.025	0.0	0.019	0.022	0.03	0.031	0.0	0.232	0.148	0.133	0.0	0.021
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.0	0.144	0.211	0.073	0.073	0.124	0.043	0.021	0.0	0.029	0.059	0.031	0.009	0.015	0.085	0.168	0.064	0.0	0.001	0.0	0.042	0.037	0.008	0.084	0.0	0.0	0.143	0.096	0.056	0.028	0.08	0.028	0.09	0.083	0.151	0.033	0.095	0.032	0.03	0.024	0.049	0.033
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.0	0.061	0.03	0.025	0.04	0.049	0.017	0.021	0.0	0.034	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.015	0.012	0.0	0.008	0.0	0.0	0.011	0.031	0.023	0.057	0.017	0.015	0.026	0.051	0.037	0.0	0.016	0.046	0.009	0.0	0.026	0.043
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.001	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.008
