gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B_cells	DC	EVT_1	EVT_2	Endo_F	Endo_L	Endo_M	GC	Granulocytes	HOFB	ILC3	M3	MO	NK	PV MMP11	PV MYH11	PV STEAP4	Plasma	SCT	T_cells	VCT	VCT_CCC	VCT_fusing	VCT_p	dDC	dEpi_lumenal	dEpi_secretory	dM1	dM2	dNK1	dNK2	dNK3	dS1	dS2	dS3	dT_cells	dT_regs	eEVT	fF1	fF2	iEVT	uSMC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.125	0.0	0.698	0.583	0.2	0.222	0.232	0.789	0.0	0.336	0.16	0.385	0.067	0.115	0.154	0.0	0.0	0.0	0.27	0.0	0.464	0.647	0.45	0.552	0.429	0.0	0.137	0.213	0.283	0.654	0.344	0.3	0.123	0.24	0.354	0.021	0.053	0.857	0.048	0.0	0.892	0.359
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.125	0.0	0.698	0.583	0.2	0.222	0.232	0.789	0.0	0.336	0.16	0.385	0.067	0.115	0.154	0.0	0.0	0.0	0.27	0.0	0.464	0.647	0.45	0.552	0.429	0.0	0.137	0.213	0.283	0.654	0.344	0.3	0.123	0.24	0.354	0.021	0.053	0.857	0.048	0.0	0.892	0.359
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.125	0.0	0.698	0.583	0.2	0.222	0.232	0.789	0.0	0.336	0.16	0.385	0.067	0.115	0.154	0.0	0.0	0.0	0.27	0.0	0.464	0.647	0.45	0.552	0.429	0.0	0.137	0.213	0.283	0.654	0.344	0.3	0.123	0.24	0.354	0.021	0.053	0.857	0.048	0.0	0.892	0.359
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.0	0.429	0.019	0.0	0.0	0.056	0.029	0.0	0.0	0.112	0.08	0.077	0.267	0.0	0.0	0.0	0.067	0.0	0.007	0.0	0.021	0.029	0.0	0.03	0.0	1.0	0.042	0.206	0.12	0.01	0.016	0.0	0.031	0.043	0.077	0.021	0.0	0.464	0.212	0.357	0.0	0.024
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.0	0.429	0.019	0.0	0.0	0.056	0.029	0.0	0.0	0.112	0.08	0.077	0.267	0.0	0.0	0.0	0.067	0.0	0.007	0.0	0.021	0.029	0.0	0.03	0.0	1.0	0.042	0.206	0.12	0.01	0.016	0.0	0.031	0.043	0.077	0.021	0.0	0.464	0.212	0.357	0.0	0.024
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.0	0.429	0.019	0.0	0.0	0.056	0.029	0.0	0.0	0.112	0.08	0.077	0.267	0.0	0.0	0.0	0.067	0.0	0.007	0.0	0.021	0.029	0.0	0.03	0.0	1.0	0.042	0.206	0.12	0.01	0.016	0.0	0.031	0.043	0.077	0.021	0.0	0.464	0.212	0.357	0.0	0.024
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.0	0.286	0.547	0.208	0.2	0.167	0.101	0.053	0.0	0.075	0.04	0.077	0.033	0.019	0.154	0.286	0.133	0.0	0.004	0.0	0.136	0.147	0.05	0.284	0.0	0.0	0.22	0.163	0.076	0.029	0.08	0.033	0.167	0.18	0.408	0.031	0.158	0.107	0.048	0.071	0.108	0.047
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.0	0.143	0.17	0.083	0.067	0.111	0.029	0.053	0.0	0.056	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.017	0.029	0.0	0.015	0.0	0.0	0.018	0.064	0.033	0.077	0.016	0.033	0.05	0.112	0.146	0.0	0.053	0.107	0.029	0.0	0.081	0.053
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.004	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.006
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.004	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.006
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.004	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.006
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.013	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.0	0.0	0.189	0.042	0.133	0.056	0.058	0.053	0.0	0.028	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.089	0.176	0.45	0.164	0.143	0.0	0.018	0.014	0.0	0.058	0.032	0.0	0.025	0.024	0.077	0.0	0.053	0.0	0.125	0.071	0.027	0.006
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.0	0.0	0.189	0.042	0.133	0.056	0.058	0.053	0.0	0.028	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.089	0.176	0.45	0.164	0.143	0.0	0.018	0.014	0.0	0.058	0.032	0.0	0.025	0.024	0.077	0.0	0.053	0.0	0.125	0.071	0.027	0.006
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.0	0.0	0.189	0.042	0.133	0.056	0.058	0.053	0.0	0.028	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.089	0.176	0.45	0.164	0.143	0.0	0.018	0.014	0.0	0.058	0.032	0.0	0.025	0.024	0.077	0.0	0.053	0.0	0.125	0.071	0.027	0.006
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.0	0.0	0.189	0.042	0.133	0.056	0.058	0.053	0.0	0.028	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.089	0.176	0.45	0.164	0.143	0.0	0.018	0.014	0.0	0.058	0.032	0.0	0.025	0.024	0.077	0.0	0.053	0.0	0.125	0.071	0.027	0.006
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.0	0.0	0.302	0.083	0.133	0.167	0.188	0.0	0.0	0.196	0.0	0.0	0.033	0.0	0.077	0.286	0.133	0.333	0.046	0.0	0.247	0.176	0.15	0.343	0.0	1.0	0.208	0.071	0.087	0.0	0.016	0.0	0.267	0.259	0.485	0.0	0.0	0.0	0.163	0.143	0.081	0.176
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.0	0.0	0.302	0.083	0.133	0.167	0.188	0.0	0.0	0.196	0.0	0.0	0.033	0.0	0.077	0.286	0.133	0.333	0.046	0.0	0.247	0.176	0.15	0.343	0.0	1.0	0.208	0.071	0.087	0.0	0.016	0.0	0.267	0.259	0.485	0.0	0.0	0.0	0.163	0.143	0.081	0.176
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.0	0.0	0.906	0.542	0.133	0.056	0.029	0.368	0.0	0.112	0.04	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.922	0.0	0.46	0.676	1.0	0.537	0.0	0.0	0.06	0.05	0.076	0.029	0.016	0.033	0.107	0.185	0.415	0.0	0.053	0.286	0.058	0.071	0.595	0.147
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	CYP11A1	0.0	0.0	0.151	0.083	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.077	0.059	0.0	0.134	0.0	0.0	0.006	0.028	0.033	0.029	0.016	0.0	0.038	0.024	0.046	0.0	0.0	0.0	0.01	0.0	0.0	0.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	CYP3A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.0	0.0	0.019	0.0	0.0	0.056	0.014	0.0	0.0	0.028	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.011	0.0	0.0	0.0	0.013	0.02	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.024
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.0	0.0	0.019	0.0	0.0	0.056	0.014	0.0	0.0	0.028	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.011	0.0	0.0	0.0	0.013	0.02	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.024
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.0	0.143	0.226	0.25	0.267	0.056	0.072	0.158	0.0	0.196	0.0	0.0	0.067	0.019	0.0	0.0	0.0	0.0	0.567	0.0	0.106	0.059	0.15	0.075	0.0	0.0	0.155	0.071	0.196	0.038	0.024	0.0	0.05	0.109	0.192	0.01	0.158	0.214	0.038	0.0	0.378	0.124
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.0	0.143	0.226	0.25	0.267	0.056	0.072	0.158	0.0	0.196	0.0	0.0	0.067	0.019	0.0	0.0	0.0	0.0	0.567	0.0	0.106	0.059	0.15	0.075	0.0	0.0	0.155	0.071	0.196	0.038	0.024	0.0	0.05	0.109	0.192	0.01	0.158	0.214	0.038	0.0	0.378	0.124
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.125	0.286	0.019	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.385	0.033	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.004	0.029	0.5	0.015	0.0	0.0	0.012	0.099	0.0	0.0	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.006
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.0	0.286	0.019	0.0	0.0	0.0	0.014	0.0	0.0	0.262	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.024	0.206	0.228	0.0	0.048	0.0	0.0	0.012	0.0	0.021	0.0	0.0	0.0	0.0	0.027	0.012
